Error message,Error Package,File
`{lorawan_field}` encoded length `{value}` should between `{min}` and `{max}`,pkg/encoding/lorawan:encoded_field_length_bound,errors.go
`{lorawan_field}` encoded length `{value}` should be `{expected}`,pkg/encoding/lorawan:encoded_field_length_equal,errors.go
`{lorawan_field}` encoded length `{value}` should be equal to `{expected_1}` or `{expected_2}`,pkg/encoding/lorawan:encoded_field_length_multiple_choices,errors.go
could not encode MAC command with CID `{cid}`,pkg/encoding/lorawan:encoding_mac_command,mac.go
encrypted JoinAcceptPayload should have length of 16 or 32,pkg/encoding/lorawan:encrypted_joinacceptpayload_length,messages.go
`{lorawan_field}` should be between `{min}` and `{max}`,pkg/encoding/lorawan:field_bound,errors.go
`{lorawan_field}` length `{value}` should be equal to `{expected}`,pkg/encoding/lorawan:field_length_equal,errors.go
`{lorawan_field}` length `{value}` should be lower or equal to `{max}`,pkg/encoding/lorawan:field_length_with_max,errors.go
`{lorawan_field}` length `{value}` should be higher or equal to `{min}`,pkg/encoding/lorawan:field_length_with_min,errors.go
`{lorawan_field}` length `{value}` should be equal to `{expected_1}` or `{expected_2}`,pkg/encoding/lorawan:field_length_with_multiple_choices,errors.go
`{lorawan_field}` value `{value}` should be lower or equal to `{max}`,pkg/encoding/lorawan:field_with_max,errors.go
invalid downlink MAC command CID `{cid}`,pkg/encoding/lorawan:mac_command_downlink,mac.go
invalid uplink MAC command CID `{cid}`,pkg/encoding/lorawan:mac_command_uplink,mac.go
expected CFList frequency to be less or equal to 0xFFFFFF,pkg/encoding/lorawan:max_cflist_frequency,messages.go
no unmarshaler available for MAC command with CID `{cid}`,pkg/encoding/lorawan:no_unmarshaler,mac.go
unknown `{lorawan_field}`,pkg/encoding/lorawan:unknown_field,errors.go
unknown MAC command CID `{cid}`,pkg/encoding/lorawan:unknown_mac_command,mac.go
context canceled,pkg/errors:context_canceled,conversion.go
context deadline exceeded,pkg/errors:context_deadline_exceeded,conversion.go
{message},pkg/errors:net_addr,conversion.go
{message},pkg/errors:net_dns,conversion.go
{message},pkg/errors:net_invalid_addr,conversion.go
{message},pkg/errors:net_operation,conversion.go
{message},pkg/errors:net_unknown_network,conversion.go
Odd number of key-value elements,pkg/errors:odd_kv,attributes.go
request to `{url}` failed,pkg/errors:request,conversion.go
invalid `{field}`: {reason},pkg/errors:validation,validation.go
unknown certificate authority,pkg/errors:x509_unknown_authority,conversion.go
no identifiers,pkg/events/grpc:no_identifiers,grpc.go
channel closed,pkg/events/redis:channel_closed,redis.go
could not fetch file `{filename}`,pkg/fetch:fetch_file,errors.go
file `{filename}` not found,pkg/fetch:file_not_found,errors.go
filename not specified,pkg/fetch:filename_not_specified,errors.go
could not read file `{filename}`,pkg/fetch:read_file,errors.go
URI scheme not specified,pkg/fetch:scheme_not_specified,errors.go
URI scheme should not be specified,pkg/fetch:scheme_specified,errors.go
volume should not be specified,pkg/fetch:volume_specified,errors.go
invalid frequency plan channel `{index}`,pkg/frequencyplans:channel,frequencyplans.go
Data rate index is invalid,pkg/frequencyplans:data_rate_index,frequencyplans.go
fetching failed,pkg/frequencyplans:fetch,frequencyplans.go
invalid frequency plan,pkg/frequencyplans:invalid,frequencyplans.go
no dwell time duration specified,pkg/frequencyplans:no_dwell_time_duration,frequencyplans.go
frequency plans not configured,pkg/frequencyplans:not_configured,frequencyplans.go
frequency plan `{id}` not found,pkg/frequencyplans:not_found,frequencyplans.go
could not parse file,pkg/frequencyplans:parse_file,frequencyplans.go
could not read frequency plan `{id}`,pkg/frequencyplans:read,frequencyplans.go
could not read the base `{base_id}` of frequency plan `{id}`,pkg/frequencyplans:read_base,frequencyplans.go
could not read the list of frequency plans,pkg/frequencyplans:read_list,frequencyplans.go
unauthenticated,pkg/gatewayconfigurationserver/v2:unauthenticated,http_gateway.go
failed to connect gateway `{gateway_uid}`,pkg/gatewayserver/io/grpc:connect,grpc.go
no MQTT configuration provider available,pkg/gatewayserver/io/grpc:no_configuration_provider,grpc.go
unknown data rate `{data_rate}`,pkg/gatewayserver/io/mqtt:data_rate,format_protobufv2.go
unknown frequency plan `{frequency_plan}`,pkg/gatewayserver/io/mqtt:frequency_plan,format_protobufv2.go
missing LoRaWAN metadata,pkg/gatewayserver/io/mqtt:lorawan_metadata,format_protobufv2.go
invalid LoRaWAN payload,pkg/gatewayserver/io/mqtt:lorawan_payload,format_protobufv2.go
unknown modulation `{modulation}`,pkg/gatewayserver/io/mqtt:modulation,format_protobufv2.go
internal server error,pkg/gatewayserver/io/mqtt:mqtt_frontend_recovered,mqtt.go
not authorized,pkg/gatewayserver/io/mqtt:not_authorized,mqtt.go
not scheduled,pkg/gatewayserver/io/mqtt:not_scheduled,format_protobufv2.go
not supported,pkg/gatewayserver/io/mqtt:not_supported,format.go
gateway is already connected,pkg/gatewayserver/io/udp:already_connected,firewall.go
connection expired,pkg/gatewayserver/io/udp:connection_expired,udp.go
connection is not ready,pkg/gatewayserver/io/udp:connection_not_ready,udp.go
failed to claim downlink,pkg/gatewayserver/io/udp:downlink_claim,udp.go
downlink path expired,pkg/gatewayserver/io/udp:downlink_path_expired,udp.go
